"Time slot","Topic"
"9:30 - 9:40","Introduction and outline"
"9:40 - 10:10","Collaboration via GitHub"
"10:10 - 10:40","R Package Syntax"
"10:40 - 11:00","Tea Break"
"11:00 - 11:40","Software Engineering Workflow"
"11:40 - 12:10","Package Quality"
"12:10 - 12:30","Summary and Discussion"
